,Dataset: COMPTON-1993 (COMP28ID),,,,,,,,,
,Data From (Title): Personnel Attrition Data,,,,,,,,,
,"Author: Compton, Jonathon W.",,,,,,,,,
,Organization: US Army TRADOC Systems Analysis Activity,,,,,,,,,
,"Address: White Sands Missile Range, New Mexico 88002",,,,,,,,,
,Publication Date: November 1983.,,,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,,,
,Source Available From: DTIC as AD-B085 206.,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,
,Spreadsheet last revised: 17 November 1993.,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
Seq.,Division,,Sub-Unit,Sub-Unit,Sub-Unit,,,,,
No.,Name,Date,Level 1,Level 2,Level 3,KIA,WIA,MIA,NB,Total
-,-,-,-,-,-,-,-,-,-,-
223,28th Infantry,11/03/1944,112TH RCT,"HQ, 112 RCT",ANTITANK CO,--,--,--,--,0
224,28th Infantry,11/03/1944,112TH RCT,"HQ, 112 RCT",MED DET,--,2,1,1,4
225,28th Infantry,11/03/1944,112TH RCT,1ST BN,HHC,1,3,--,--,4
226,28th Infantry,11/03/1944,112TH RCT,1ST BN,A CO,--,5,--,1,6
227,28th Infantry,11/03/1944,112TH RCT,1ST BN,B CO,1,3,--,4,8
228,28th Infantry,11/03/1944,112TH RCT,1ST BN,C CO,--,--,1,2,3
229,28th Infantry,11/03/1944,112TH RCT,1ST BN,D CO,--,--,--,1,1
230,28th Infantry,11/03/1944,112TH RCT,2D BN,HHC,--,1,--,--,1
231,28th Infantry,11/03/1944,112TH RCT,2D BN,E CO,--,--,--,--,0
232,28th Infantry,11/03/1944,112TH RCT,2D BN,F CO,--,3,--,1,4
233,28th Infantry,11/03/1944,112TH RCT,2D BN,G CO,--,8,4,--,12
234,28th Infantry,11/03/1944,112TH RCT,2D BN,H CO,--,--,--,--,0
235,28th Infantry,11/03/1944,112TH RCT,3D BN,HHC,--,4,1,--,5
236,28th Infantry,11/03/1944,112TH RCT,3D BN,I CO,--,--,1,3,4
237,28th Infantry,11/03/1944,112TH RCT,3D BN,K CO,--,3,7,1,11
238,28th Infantry,11/03/1944,112TH RCT,3D BN,L CO,--,1,--,--,1
239,28th Infantry,11/03/1944,112TH RCT,3D BN,M CO,--,3,--,--,3
240,28th Infantry,11/03/1944,112TH RCT,229 FA BN,HHB,1,--,--,--,1
241,28th Infantry,11/03/1944,112TH RCT,229 FA BN,SVC BTRY,--,--,--,--,0
242,28th Infantry,11/03/1944,112TH RCT,229 FA BN,A BTRY,--,--,--,--,0
243,28th Infantry,11/03/1944,112TH RCT,229 FA BN,B BTRY,--,--,--,--,0
244,28th Infantry,11/03/1944,112TH RCT,229 FA BN,C BTRY,--,--,--,--,0
